date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
7/23/2018 0:00,211,73,33385
7/30/2018 0:00,227,71,34232
8/6/2018 0:00,226,73,34465
8/13/2018 0:00,326,72,36224
8/20/2018 0:00,512,76,38974
8/27/2018 0:00,497,76,39065
9/3/2018 0:00,565,76,39056
9/10/2018 0:00,565,75,39553
9/17/2018 0:00,605,74,37888
9/24/2018 0:00,544,69,35691
10/1/2018 0:00,640,79,39289
10/8/2018 0:00,633,79,36797
10/15/2018 0:00,656,79,35853
10/22/2018 0:00,857,80,38190
10/29/2018 0:00,914,80,38235
11/5/2018 0:00,1083,81,39229
11/12/2018 0:00,1111,80,37490
11/19/2018 0:00,1084,80,35456
11/26/2018 0:00,1263,81,41155
12/3/2018 0:00,1152,82,38716
12/10/2018 0:00,1420,82,38703
12/17/2018 0:00,1585,81,38533
12/24/2018 0:00,1977,81,38097
12/31/2018 0:00,1724,81,40496
1/7/2019 0:00,1363,81,40318
1/14/2019 0:00,1711,81,39760
1/21/2019 0:00,2168,81,39384
1/28/2019 0:00,3376,81,42566
2/4/2019 0:00,3780,81,43315
2/11/2019 0:00,3679,81,41196
2/18/2019 0:00,2907,82,40017
2/25/2019 0:00,2168,80,36848
3/4/2019 0:00,1824,80,36476
3/11/2019 0:00,1862,83,39615
3/18/2019 0:00,1247,76,34348
3/25/2019 0:00,1064,78,34065
4/1/2019 0:00,952,80,37236
4/8/2019 0:00,814,82,38422
4/15/2019 0:00,757,82,39192
4/22/2019 0:00,857,79,40168
4/29/2019 0:00,812,78,40535
5/6/2019 0:00,747,79,41646
5/13/2019 0:00,656,79,40325
5/20/2019 0:00,622,79,40208
5/27/2019 0:00,549,76,39890
6/3/2019 0:00,472,78,39987
6/10/2019 0:00,386,76,37896
6/17/2019 0:00,364,76,36139
6/24/2019 0:00,292,74,36141
7/1/2019 0:00,237,72,34144
7/8/2019 0:00,272,72,37903
7/15/2019 0:00,287,72,36395
7/22/2019 0:00,292,74,36212
7/29/2019 0:00,316,74,36183
8/5/2019 0:00,279,72,36547
